"id","l10n_id_ebupot_facility","l10n_id_ebupot_code","active","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","original_tax_ids"
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11210030",""
"tax_PT7","","","","Creditable Input VAT from Imports and Foreign Sources","","12%","purchase","l10n_id_tax_group_non_luxury_goods","12% IM","percent","11.0","l10n_id_foreign_trade_fiscal_position","base","","","invoice","","tax_PT3"
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11210030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11210030",""
"tax_ST1","","","False","ST1","","12%","sale","l10n_id_tax_group_non_luxury_goods","11%","percent","11.0","","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21221010",""
"tax_PT1","","","False","PT1","","12%","purchase","l10n_id_tax_group_non_luxury_goods","11%","percent","11.0","","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11210030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11210030",""
"tax_22-900-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-900-01_ebupot","False","Payment for the Purchase of Goods and/or Materials for Business Activities by BUMN/Certain Business Entities","","-1.5%","sale","l10n_id_tax_group_pph22","1.5% 22-900-01","percent","-1.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-07","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-07_ebupot","False","Sales of Production Results to Domestic Distributors by Certain Business Entities/Industries (Cement Industry)","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-07","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-08","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-08_ebupot","False","Sales of Production Results to Domestic Distributors by Certain Business Entities/Industries (Steel Industry)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-100-08","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-09","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-09_ebupot","False","Sales of Production Results to Domestic Distributors by Certain Business Entities/Industries (Automotive Industry)","","-0.45%","sale","l10n_id_tax_group_pph22","0.45% 22-100-09","percent","-0.45","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-10","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-10_ebupot","False","Sales of Production Results to Domestic Distributors by Certain Business Entities/Industries (Pharmaceutical Industry)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-100-10","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-11","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-11_ebupot","False","Sales of Production Results to Domestic Distributors by Certain Business Entities/Industries (Paper Industry)","","-0.1%","sale","l10n_id_tax_group_pph22","0.1% 22-100-11","percent","-0.1","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-12","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-12_ebupot","False","Domestic Sales of Motor Vehicles by ATPM, APM and General Importers of Motor Vehicles","","-0.45%","sale","l10n_id_tax_group_pph22","0.45% 22-100-12","percent","-0.45","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-13","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-13_ebupot","False","Purchase by Business Entities of Coal, Metal Minerals and Non-Metal Minerals Mining Commodities from Bodies or Individuals Holding IUPs","","-1.5%","sale","l10n_id_tax_group_pph22","1.5% 22-100-13","percent","-1.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
