"id","l10n_id_ebupot_facility","l10n_id_ebupot_code","active","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","original_tax_ids"
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-405-02_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-405-02_ebupot","False","Income in Relation to Crypto Assets Collected by Trading Organizers Through Electronic Systems Who Are Not Physical Traders of Crypto Assets","","-0.2%","purchase","l10n_id_tax_group_pph22","0.2% 22-405-02","percent","-0.2","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-101-01_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-101-01_ebupot","False","Income in Connection with Transactions on Sales of Goods, Delivery of Services, and/or Rentals and Other Income in Connection with the Use of Assets Carried Out Through Other Parties in the Government Procurement Information System (Non-Final)","","-0.5%","purchase","l10n_id_tax_group_pph22","0.5% 22-101-01","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-101-02_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-101-02_ebupot","False","Income in Connection with Transactions on Sales of Goods, Delivery of Services, and/or Rentals and Other Income in Connection with the Use of Assets Carried Out Through Other Parties in the Government Procurement Information System (Final)","","-0.5%","purchase","l10n_id_tax_group_pph22","0.5% 22-101-02","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-102-01_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-102-01_ebupot","True","Income Received or Obtained by Domestic Traders from the Sale of Goods, Provision of Services, and/or Rentals and Other Income in Connection with the Use of Assets Conducted Through Trading Through Electronic Systems (Non-Final)","","-0.5%","purchase","l10n_id_tax_group_pph22","0.5% 22-102-01","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-102-02_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-102-02_ebupot","True","Income Received or Obtained by Domestic Traders from the Sale of Goods, Provision of Services, and/or Rentals and Other Income in Connection with the Use of Assets Conducted Through Electronic Trading Systems (Final)","","-0.5%","purchase","l10n_id_tax_group_pph22","0.5% 22-102-02","percent","-0.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-100-25_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-25_ebupot","False","Domestic Sales of Gold Bullion by Gold Jewelry and/or Gold Bullion Entrepreneurs","","-0.25%","purchase","l10n_id_tax_group_pph22","0.25% 22-100-25","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-100-26_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-26_ebupot","False","Domestic Sales of Gold Jewelry by Gold Jewelry and/or Gold Bar Entrepreneurs","","-0.25%","purchase","l10n_id_tax_group_pph22","0.25% 22-100-26","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-100-27_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-27_ebupot","False","Sales of Jewelry Other Than Gold and/or Gemstones and/or Other Similar Stones by Gold Jewelry and/or Gold Bar Entrepreneurs","","-0.25%","purchase","l10n_id_tax_group_pph22","0.25% 22-100-27","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-910-01_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-910-01_ebupot","True","Collection by the Treasurer","","-1.5%","purchase","l10n_id_tax_group_pph22","1.5% 22-910-01","percent","-1.5","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-406-01_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-406-01_ebupot","False","Article 22 Income Tax payable on the Main Contractor's income in connection with the implementation of government projects financed by foreign grants or loans","","0%","purchase","l10n_id_tax_group_pph22","0% 22-406-01","percent","0.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-401-05_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-401-05_ebupot","False","Sales of Fuel by Business Entities Other Than Pertamina or Pertamina Subsidiaries to Gas Stations/Agents/Distributors (Final) in Connection with the Implementation of Government Projects Financed by Grants or Foreign Loan Funds","","-0.3%","purchase","l10n_id_tax_group_pph22","0.3% 22-401-05","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-405-04_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-405-04_ebupot","False","Income in Relation to Crypto Assets Collected by Trading Organizers Through Domestic Electronic Systems Who Are Digital Financial Asset Traders","","-0.21%","purchase","l10n_id_tax_group_pph22","0.21% 22-405-04","percent","-0.21","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-405-05_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-405-05_ebupot","False","Income in Relation to Crypto Assets Collected by Foreign Electronic System Trading Providers Who Are Income Tax Collectors","","-1%","purchase","l10n_id_tax_group_pph22","1% 22-405-05","percent","-1.0","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_22-100-28_purchase","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-28_ebupot","False","Purchase of gold bullion by Financial Services Institutions that organize Bullion Business Activities","","-0.25%","purchase","l10n_id_tax_group_pph22","0.25% 22-100-28","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_21210020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_21210020",""
"tax_24-101-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-101-01_ebupot","True","Dividend","","-15%","sale","l10n_id_tax_group_pph23","15% 24-101-01","percent","-15.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-05","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-05_ebupot","False","Actuarial Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-05","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-06","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-06_ebupot","False","Accounting, Bookkeeping, and Financial Statement Attestation Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-06","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-07","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-07_ebupot","False","Legal Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-07","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-08","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-08_ebupot","False","Architectural Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-08","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-09","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-09_ebupot","False","Urban Planning and Landscape Architecture Services;","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-09","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-10","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-10_ebupot","False","Design Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-10","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-11","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-11_ebupot","False","Drilling Services in the Oil and Gas Mining Sector (Migas) Except those Carried Out by Permanent Establishments (BUT)","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-11","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-12","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-12_ebupot","False","Supporting Services in the Geothermal and Oil and Gas Mining Business Sectors","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-12","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-13","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-13_ebupot","False","Mining Services and Supporting Services Other Than in the Geothermal Business Sector and Oil and Gas Mining (Oil and Gas)","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-13","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-106-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-106-01_ebupot","False","Article 23 Income Tax payable on the Main Contractor's income in connection with the implementation of government projects financed by foreign grants or loans","","0%","sale","l10n_id_tax_group_pph23","0% 24-106-01","percent","0.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-14","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-14_ebupot","False","Supporting Services in the Aviation and Airport Sector","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-14","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-102-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-102-01_ebupot","False","Interest other than that subject to Income Tax Article 4 paragraph (2)","","-15%","sale","l10n_id_tax_group_pph23","15% 24-102-01","percent","-15.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-15","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-15_ebupot","False","Forest Logging Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-15","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-103-02","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-103-02_ebupot","False","Royalties received or obtained by domestic individual Taxpayers who apply Income Tax calculations using the Net Income Calculation Norm","","-6%","sale","l10n_id_tax_group_pph23","6% 24-103-02","percent","-6.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-16","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-16_ebupot","False","Waste Management Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-16","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-17","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-17_ebupot","True","Outsourcing Services for Manpower and/or Experts","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-17","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-18","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-18_ebupot","True","Intermediary and/or Agency Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-18","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-19","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-19_ebupot","False","Securities Trading Services, Except those Conducted by the Stock Exchange, the Indonesian Central Securities Depository (KSEI) and the Indonesian Securities Clearing and Guarantee Corporation (KPEI)","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-19","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-20","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-20_ebupot","False","Custodian/Storage/Safety Services, Except Those Carried Out by KSEI","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-20","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-21","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-21_ebupot","False","Voice Over and/or Dubbing Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-21","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-22","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-22_ebupot","False","Film Mixing Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-22","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-23","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-23_ebupot","False","Promotional Media Creation Services for Films, Advertisements, Posters, Photos, Slides, Clichés, Banners, Pamphlets, Billboards and Folders","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-23","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-24","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-24_ebupot","False","Services related to software or hardware or computer systems, including maintenance, upkeep and repair.","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-24","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-103-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-103-01_ebupot","False","Royalty","","-15%","sale","l10n_id_tax_group_pph23","15% 24-103-01","percent","-15.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-25","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-25_ebupot","False","Website Creation and/or Management Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-25","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-26","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-26_ebupot","False","Internet Services Including Connection","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-26","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-27","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-27_ebupot","False","Data, Information, and/or Program Storage, Processing and/or Distribution Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-27","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-28","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-28_ebupot","False","Installation/Setup Services for Machines, Equipment, Electricity, Telephone, Water, Gas, Air Conditioning and/or Cable TV, Other Than Those Carried Out by Taxpayers Whose Scope is in the Construction Sector and Who Have a Permit and/or Certification as a Construction Entrepreneur;","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-28","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-29","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-29_ebupot","False","Maintenance/Repair/Maintenance Services for Machines, Equipment, Electricity, Telephone, Water, Gas, Air Conditioning and/or Cable TV, Other Than Those Carried Out by Taxpayers Whose Scope is in the Construction Sector and Who Have a Permit and/or Certification as a Construction Entrepreneur","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-29","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-30","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-30_ebupot","False","Land, Sea and Air Vehicle and/or Transportation Equipment Maintenance Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-30","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-31","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-31_ebupot","False","Maklon Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-31","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-32","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-32_ebupot","False","Investigation and Security Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-32","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-33","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-33_ebupot","False","Event Organizer Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-33","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-34","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-34_ebupot","False","Services for Providing Place and/or Time in Mass Media, Outdoor Media or Other Media for Information Delivery, and/or Advertising Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-34","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-100-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-100-01_ebupot","True","Prizes, Awards, Bonuses and Other Things Apart from Those That Have Been Subject to Income Tax Article 21 Paragraph (1) Letter E of the Income Tax Law","","-15%","sale","l10n_id_tax_group_pph23","15% 24-100-01","percent","-15.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-35","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-35_ebupot","False","Pest Control Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-35","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-36","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-36_ebupot","False","Cleaning Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-36","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-37","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-37_ebupot","False","Septic Tank Suction Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-37","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
"tax_24-104-38","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_24-104-38_ebupot","False","Pool Maintenance Services","","-2%","sale","l10n_id_tax_group_pph23","2% 24-104-38","percent","-2.0","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510030",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510030",""
