"id","code","description"
"tax_facility_na_ebupot","N/A","Tanpa Fasilitas"
"tax_facility_taxexar22_ebupot","TaxExAr22","Surat Keterangan Bebas (SKB) Pemotongan PPh Pasal 22"
"tax_facility_taxexar23_ebupot","TaxExAr23","Surat Keterangan Bebas (SKB) Pemotongan PPh Pasal 23"
"tax_facility_taxexintdep_ebupot","TaxExIntDep","Surat Keterangan Bebas (SKB) Pemotongan PPh atas Bunga atas Deposito Berjangka dan tabungan"
"tax_facility_taxexintphtb_ebupot","TaxExIntPhtb","Surat Keterangan Bebas (SKB) Pemotongan PPh atas Pengalihan Hak atas Tanah dan Bangunan"
"tax_facility_dtp_ebupot","DTP","PPh Ditanggung Pemerintah (DTP)"
"tax_facility_pp23_ebupot","PP23","Surat Keterangan  PP 23/2018"
"tax_facility_etc_ebupot","ETC","Fasilitas Lainnya"
